Scenario,Baseline_Scenario,period,gen_energy_source,Energy_GWh_typical_yr,Energy_GWh_typical_yr_Baseline,Delta_AnnualGen_GWh,AnnualGen_perc_change_from_baseline
ACCESS-1.0,Baseline no CC,2030,Battery Storage,3981.1024,412.3679,3568.7345,8.654
ACCESS-1.0,Baseline no CC,2030,Biomass,15065.1637,14944.9666,120.1971,0.008
ACCESS-1.0,Baseline no CC,2030,Coal,18847.8,28285.598,-9437.798,-0.334
ACCESS-1.0,Baseline no CC,2030,Gas,360100.5607,331641.5448,28459.01591,0.086
ACCESS-1.0,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
ACCESS-1.0,Baseline no CC,2030,Solar,298868.778,299685.265,-816.487,-0.003
ACCESS-1.0,Baseline no CC,2030,Uranium,42763,42763,0,0
ACCESS-1.0,Baseline no CC,2030,Waste Heat,683.9716,710.0567,-26.0851,-0.037
ACCESS-1.0,Baseline no CC,2030,Water,207352.9283,240572.7791,-33219.8508,-0.138
ACCESS-1.0,Baseline no CC,2030,Wind,142382.148,112271.1872,30110.9608,0.268
ACCESS-1.0,Baseline no CC,2035,Battery Storage,9969.485013,23673.80803,-13704.32302,-0.579
ACCESS-1.0,Baseline no CC,2035,Biomass,15837.496,16020.9467,-183.4507,-0.011
ACCESS-1.0,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
ACCESS-1.0,Baseline no CC,2035,Gas,313930.2002,311595.2392,2334.960949,0.007
ACCESS-1.0,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
ACCESS-1.0,Baseline no CC,2035,Solar,348627.529,370963.234,-22335.705,-0.06
ACCESS-1.0,Baseline no CC,2035,Uranium,42763,42763,0,0
ACCESS-1.0,Baseline no CC,2035,Waste Heat,382.4255,373.5922,8.8333,0.024
ACCESS-1.0,Baseline no CC,2035,Water,205667.0807,240572.7791,-34905.6984,-0.145
ACCESS-1.0,Baseline no CC,2035,Wind,254052.371,183113.07,70939.301,0.387
ACCESS-1.0,Baseline no CC,2040,Battery Storage,81187.04304,60300.34808,20886.69496,0.346
ACCESS-1.0,Baseline no CC,2040,Biomass,16552.0088,16557.7686,-5.7598,0
ACCESS-1.0,Baseline no CC,2040,Gas,216166.5703,217326.721,-1160.150664,-0.005
ACCESS-1.0,Baseline no CC,2040,Solar,433469.308,444994.35,-11525.042,-0.026
ACCESS-1.0,Baseline no CC,2040,Uranium,42880,42880,0,0
ACCESS-1.0,Baseline no CC,2040,Waste Heat,136.4196,147.3505,-10.9309,-0.074
ACCESS-1.0,Baseline no CC,2040,Water,211566.4818,241236.2242,-29669.7424,-0.123
ACCESS-1.0,Baseline no CC,2040,Wind,388843.5512,323499.462,65344.08919,0.202
ACCESS-1.0,Baseline no CC,2045,Battery Storage,187778.85,174976.884,12801.96603,0.073
ACCESS-1.0,Baseline no CC,2045,Biomass,16448.4921,16448.4871,0.005,0
ACCESS-1.0,Baseline no CC,2045,Gas,92675.47326,93571.69649,-896.223226,-0.01
ACCESS-1.0,Baseline no CC,2045,Solar,636034.928,617190.51,18844.41804,0.031
ACCESS-1.0,Baseline no CC,2045,Uranium,42763,42763,0,0
ACCESS-1.0,Baseline no CC,2045,Waste Heat,118.6316,110.882,7.7496,0.07
ACCESS-1.0,Baseline no CC,2045,Water,202980.4782,240572.7791,-37592.3009,-0.156
ACCESS-1.0,Baseline no CC,2045,Wind,473035.0412,427622.521,45412.52015,0.106
ACCESS-1.0,Baseline no CC,2050,Battery Storage,376748.24,327780.741,48967.49901,0.149
ACCESS-1.0,Baseline no CC,2050,Biomass,15380.8145,15343.5411,37.2734,0.002
ACCESS-1.0,Baseline no CC,2050,Solar,975090.719,866977.566,108113.153,0.125
ACCESS-1.0,Baseline no CC,2050,Uranium,42763,42763,0,0
ACCESS-1.0,Baseline no CC,2050,Waste Heat,28.7181,31.433,-2.7149,-0.086
ACCESS-1.0,Baseline no CC,2050,Water,184672.9875,240572.7791,-55899.7916,-0.232
ACCESS-1.0,Baseline no CC,2050,Wind,439528.7971,450457.851,-10929.05388,-0.024
CCSM,Baseline no CC,2030,Battery Storage,2063.236365,412.3679,1650.868465,4.003
CCSM,Baseline no CC,2030,Biomass,15226.3348,14944.9666,281.3682,0.019
CCSM,Baseline no CC,2030,Coal,25096.798,28285.598,-3188.8,-0.113
CCSM,Baseline no CC,2030,Gas,341615.1102,331641.5448,9973.565405,0.03
CCSM,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
CCSM,Baseline no CC,2030,Solar,294981.5552,299685.265,-4703.709828,-0.016
CCSM,Baseline no CC,2030,Uranium,42763,42763,0,0
CCSM,Baseline no CC,2030,Waste Heat,712.9856,710.0567,2.9289,0.004
CCSM,Baseline no CC,2030,Water,214744.478,240572.7791,-25828.3011,-0.107
CCSM,Baseline no CC,2030,Wind,147094.6153,112271.1872,34823.42813,0.31
CCSM,Baseline no CC,2035,Battery Storage,7898.953692,23673.80803,-15774.85434,-0.666
CCSM,Baseline no CC,2035,Biomass,16155.95239,16020.9467,135.00569,0.008
CCSM,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
CCSM,Baseline no CC,2035,Gas,314919.6131,311595.2392,3324.373814,0.011
CCSM,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
CCSM,Baseline no CC,2035,Solar,347227.5737,370963.234,-23735.66029,-0.064
CCSM,Baseline no CC,2035,Uranium,42763,42763,0,0
CCSM,Baseline no CC,2035,Waste Heat,356.1829,373.5922,-17.4093,-0.047
CCSM,Baseline no CC,2035,Water,229581.0497,240572.7791,-10991.7294,-0.046
CCSM,Baseline no CC,2035,Wind,225800.2676,183113.07,42687.19762,0.233
CCSM,Baseline no CC,2040,Battery Storage,40664.13001,60300.34808,-19636.21807,-0.326
CCSM,Baseline no CC,2040,Biomass,16262.73143,16557.7686,-295.0371724,-0.018
CCSM,Baseline no CC,2040,Gas,212607.4709,217326.721,-4719.25011,-0.022
CCSM,Baseline no CC,2040,Solar,391013.3196,444994.35,-53981.0304,-0.121
CCSM,Baseline no CC,2040,Uranium,42880,42880,0,0
CCSM,Baseline no CC,2040,Waste Heat,144.8057,147.3505,-2.5448,-0.017
CCSM,Baseline no CC,2040,Water,231868.6706,241236.2242,-9367.5536,-0.039
CCSM,Baseline no CC,2040,Wind,402167.5411,323499.462,78668.07913,0.243
CCSM,Baseline no CC,2045,Battery Storage,171719.8412,174976.884,-3257.042764,-0.019
CCSM,Baseline no CC,2045,Biomass,16413.8161,16448.4871,-34.671,-0.002
CCSM,Baseline no CC,2045,Gas,93144.25195,93571.69649,-427.4445426,-0.005
CCSM,Baseline no CC,2045,Geothermal,2.26E-05,0,2.26E-05,Inf
CCSM,Baseline no CC,2045,Solar,606934.1279,617190.51,-10256.38213,-0.017
CCSM,Baseline no CC,2045,Uranium,42763,42763,0,0
CCSM,Baseline no CC,2045,Waste Heat,106.2644,110.882,-4.6176,-0.042
CCSM,Baseline no CC,2045,Water,236418.744,240572.7791,-4154.0351,-0.017
CCSM,Baseline no CC,2045,Wind,458292.5733,427622.521,30670.05226,0.072
CCSM,Baseline no CC,2050,Battery Storage,365050.1019,327780.741,37269.36091,0.114
CCSM,Baseline no CC,2050,Biomass,15554.19453,15343.5411,210.6534294,0.014
CCSM,Baseline no CC,2050,Geothermal,6307.200187,0,6307.200187,Inf
CCSM,Baseline no CC,2050,Solar,943295.6587,866977.566,76318.09269,0.088
CCSM,Baseline no CC,2050,Uranium,42763,42763,0,0
CCSM,Baseline no CC,2050,Waste Heat,26.3862,31.433,-5.0468,-0.161
CCSM,Baseline no CC,2050,Water,217880.5748,240572.7791,-22692.2043,-0.094
CCSM,Baseline no CC,2050,Wind,415238.787,450457.851,-35219.06398,-0.078
CESM1-BGC,Baseline no CC,2030,Battery Storage,2277.138943,412.3679,1864.771043,4.522
CESM1-BGC,Baseline no CC,2030,Biomass,15402.96559,14944.9666,457.9989861,0.031
CESM1-BGC,Baseline no CC,2030,Coal,21761.95001,28285.598,-6523.647988,-0.231
CESM1-BGC,Baseline no CC,2030,Gas,351952.5776,331641.5448,20311.03285,0.061
CESM1-BGC,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
CESM1-BGC,Baseline no CC,2030,Oil,0.000108184,0,0.000108184,Inf
CESM1-BGC,Baseline no CC,2030,Solar,282132.7515,299685.265,-17552.51345,-0.059
CESM1-BGC,Baseline no CC,2030,Uranium,42763,42763,0,0
CESM1-BGC,Baseline no CC,2030,Waste Heat,727.7241,710.0567,17.6674,0.025
CESM1-BGC,Baseline no CC,2030,Water,212190.4643,240572.7791,-28382.3148,-0.118
CESM1-BGC,Baseline no CC,2030,Wind,154217.1491,112271.1872,41945.96192,0.374
CESM1-BGC,Baseline no CC,2035,Battery Storage,8466.056017,23673.80803,-15207.75201,-0.642
CESM1-BGC,Baseline no CC,2035,Biomass,16127.27583,16020.9467,106.3291276,0.007
CESM1-BGC,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
CESM1-BGC,Baseline no CC,2035,Gas,314176.2956,311595.2392,2581.056331,0.008
CESM1-BGC,Baseline no CC,2035,Geothermal,2322.310011,2322.31,1.08E-05,0
CESM1-BGC,Baseline no CC,2035,Oil,5.58E-05,0,5.58E-05,Inf
CESM1-BGC,Baseline no CC,2035,Solar,317211.4478,370963.234,-53751.7862,-0.145
CESM1-BGC,Baseline no CC,2035,Uranium,42763,42763,0,0
CESM1-BGC,Baseline no CC,2035,Waste Heat,373.629,373.5922,0.0368,0
CESM1-BGC,Baseline no CC,2035,Water,210650.5217,240572.7791,-29922.2574,-0.124
CESM1-BGC,Baseline no CC,2035,Wind,274317.1379,183113.07,91204.06793,0.498
CESM1-BGC,Baseline no CC,2040,Battery Storage,67998.41091,60300.34808,7698.062832,0.128
CESM1-BGC,Baseline no CC,2040,Biomass,16727.24888,16557.7686,169.4802758,0.01
CESM1-BGC,Baseline no CC,2040,Gas,215576.3272,217326.721,-1750.393754,-0.008
CESM1-BGC,Baseline no CC,2040,Geothermal,0.000163018,0,0.000163018,Inf
CESM1-BGC,Baseline no CC,2040,Solar,437223.9332,444994.35,-7770.416791,-0.017
CESM1-BGC,Baseline no CC,2040,Uranium,42880,42880,0,0
CESM1-BGC,Baseline no CC,2040,Waste Heat,134.6457,147.3505,-12.7048,-0.086
CESM1-BGC,Baseline no CC,2040,Water,225750.3545,241236.2242,-15485.8697,-0.064
CESM1-BGC,Baseline no CC,2040,Wind,364767.389,323499.462,41267.92704,0.128
CESM1-BGC,Baseline no CC,2045,Battery Storage,170807.1551,174976.884,-4169.728907,-0.024
CESM1-BGC,Baseline no CC,2045,Biomass,16419.85526,16448.4871,-28.63183646,-0.002
CESM1-BGC,Baseline no CC,2045,Gas,93026.36762,93571.69649,-545.3288643,-0.006
CESM1-BGC,Baseline no CC,2045,Geothermal,0.000527657,0,0.000527657,Inf
CESM1-BGC,Baseline no CC,2045,Solar,588122.8606,617190.51,-29067.64945,-0.047
CESM1-BGC,Baseline no CC,2045,Uranium,42763,42763,0,0
CESM1-BGC,Baseline no CC,2045,Waste Heat,106.7671,110.882,-4.1149,-0.037
CESM1-BGC,Baseline no CC,2045,Water,221686.4088,240572.7791,-18886.3703,-0.079
CESM1-BGC,Baseline no CC,2045,Wind,488336.1181,427622.521,60713.59712,0.142
CESM1-BGC,Baseline no CC,2050,Battery Storage,319080.7102,327780.741,-8700.03084,-0.027
CESM1-BGC,Baseline no CC,2050,Biomass,15239.50625,15343.5411,-104.0348487,-0.007
CESM1-BGC,Baseline no CC,2050,Geothermal,0.001642285,0,0.001642285,Inf
CESM1-BGC,Baseline no CC,2050,Solar,842654.6316,866977.566,-24322.93447,-0.028
CESM1-BGC,Baseline no CC,2050,Uranium,42763,42763,0,0
CESM1-BGC,Baseline no CC,2050,Waste Heat,30.9136,31.433,-0.5194,-0.017
CESM1-BGC,Baseline no CC,2050,Water,209209.0673,240572.7791,-31363.7118,-0.13
CESM1-BGC,Baseline no CC,2050,Wind,508993.2072,450457.851,58535.35621,0.13
CESM1-CAM5,Baseline no CC,2030,Battery Storage,3427.367532,412.3679,3014.999632,7.311
CESM1-CAM5,Baseline no CC,2030,Biomass,14957.2229,14944.9666,12.2563,0.001
CESM1-CAM5,Baseline no CC,2030,Coal,25096.798,28285.598,-3188.8,-0.113
CESM1-CAM5,Baseline no CC,2030,Gas,343247.3138,331641.5448,11605.76903,0.035
CESM1-CAM5,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
CESM1-CAM5,Baseline no CC,2030,Solar,282553.155,299685.265,-17132.10996,-0.057
CESM1-CAM5,Baseline no CC,2030,Uranium,42763,42763,0,0
CESM1-CAM5,Baseline no CC,2030,Waste Heat,718.8543,710.0567,8.7976,0.012
CESM1-CAM5,Baseline no CC,2030,Water,244285.7498,240572.7791,3712.9707,0.015
CESM1-CAM5,Baseline no CC,2030,Wind,128622.3892,112271.1872,16351.20195,0.146
CESM1-CAM5,Baseline no CC,2035,Battery Storage,12443.65286,23673.80803,-11230.15517,-0.474
CESM1-CAM5,Baseline no CC,2035,Biomass,16296.62618,16020.9467,275.67948,0.017
CESM1-CAM5,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
CESM1-CAM5,Baseline no CC,2035,Gas,314250.1899,311595.2392,2654.950615,0.009
CESM1-CAM5,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
CESM1-CAM5,Baseline no CC,2035,Oil,0.0549121,0,0.0549121,Inf
CESM1-CAM5,Baseline no CC,2035,Solar,330719.8996,370963.234,-40243.33444,-0.108
CESM1-CAM5,Baseline no CC,2035,Uranium,42763,42763,0,0
CESM1-CAM5,Baseline no CC,2035,Waste Heat,375.3544,373.5922,1.7622,0.005
CESM1-CAM5,Baseline no CC,2035,Water,237435.6209,240572.7791,-3137.1582,-0.013
CESM1-CAM5,Baseline no CC,2035,Wind,236754.6655,183113.07,53641.59547,0.293
CESM1-CAM5,Baseline no CC,2040,Battery Storage,81568.7505,60300.34808,21268.40242,0.353
CESM1-CAM5,Baseline no CC,2040,Biomass,16668.9877,16557.7686,111.2191,0.007
CESM1-CAM5,Baseline no CC,2040,Gas,213905.9625,217326.721,-3420.758454,-0.016
CESM1-CAM5,Baseline no CC,2040,Solar,482004.5164,444994.35,37010.16638,0.083
CESM1-CAM5,Baseline no CC,2040,Uranium,42880,42880,0,0
CESM1-CAM5,Baseline no CC,2040,Waste Heat,128.1563,147.3505,-19.1942,-0.13
CESM1-CAM5,Baseline no CC,2040,Water,225091.0615,241236.2242,-16145.1627,-0.067
CESM1-CAM5,Baseline no CC,2040,Wind,325665.9815,323499.462,2166.519532,0.007
CESM1-CAM5,Baseline no CC,2045,Battery Storage,202756.482,174976.884,27779.59798,0.159
CESM1-CAM5,Baseline no CC,2045,Biomass,16537.7755,16448.4871,89.2884,0.005
CESM1-CAM5,Baseline no CC,2045,Gas,93278.90085,93571.69649,-292.7956408,-0.003
CESM1-CAM5,Baseline no CC,2045,Solar,677037.1616,617190.51,59846.6516,0.097
CESM1-CAM5,Baseline no CC,2045,Uranium,42763,42763,0,0
CESM1-CAM5,Baseline no CC,2045,Waste Heat,106.3161,110.882,-4.5659,-0.041
CESM1-CAM5,Baseline no CC,2045,Water,232035.2688,240572.7791,-8537.5103,-0.035
CESM1-CAM5,Baseline no CC,2045,Wind,399837.0161,427622.521,-27785.50493,-0.065
CESM1-CAM5,Baseline no CC,2050,Battery Storage,362132.0309,327780.741,34351.28993,0.105
CESM1-CAM5,Baseline no CC,2050,Biomass,15380.8145,15343.5411,37.2734,0.002
CESM1-CAM5,Baseline no CC,2050,Solar,916024.5899,866977.566,49047.02384,0.057
CESM1-CAM5,Baseline no CC,2050,Uranium,42763,42763,0,0
CESM1-CAM5,Baseline no CC,2050,Waste Heat,32.2743,31.433,0.8413,0.027
CESM1-CAM5,Baseline no CC,2050,Water,253626.1776,240572.7791,13053.3985,0.054
CESM1-CAM5,Baseline no CC,2050,Wind,413459.805,450457.851,-36998.04598,-0.082
CMCC-CM,Baseline no CC,2030,Battery Storage,1941.365469,412.3679,1528.997569,3.708
CMCC-CM,Baseline no CC,2030,Biomass,15608.456,14944.9666,663.4894,0.044
CMCC-CM,Baseline no CC,2030,Coal,25096.798,28285.598,-3188.8,-0.113
CMCC-CM,Baseline no CC,2030,Gas,333351.4908,331641.5448,1709.946042,0.005
CMCC-CM,Baseline no CC,2030,Geothermal,5684.382,5684.382,0,0
CMCC-CM,Baseline no CC,2030,Solar,312757.4501,299685.265,13072.18515,0.044
CMCC-CM,Baseline no CC,2030,Uranium,42763,42763,0,0
CMCC-CM,Baseline no CC,2030,Waste Heat,683.9234,710.0567,-26.1333,-0.037
CMCC-CM,Baseline no CC,2030,Water,232445.4558,240572.7791,-8127.3233,-0.034
CMCC-CM,Baseline no CC,2030,Wind,123305.1829,112271.1872,11033.99573,0.098
CMCC-CM,Baseline no CC,2035,Battery Storage,10467.03715,23673.80803,-13206.77088,-0.558
CMCC-CM,Baseline no CC,2035,Biomass,16103.09977,16020.9467,82.15307,0.005
CMCC-CM,Baseline no CC,2035,Coal,0,3911.8,-3911.8,-1
CMCC-CM,Baseline no CC,2035,Gas,311268.2398,311595.2392,-326.9994106,-0.001
CMCC-CM,Baseline no CC,2035,Geothermal,2322.31,2322.31,0,0
CMCC-CM,Baseline no CC,2035,Solar,352540.7767,370963.234,-18422.45733,-0.05
CMCC-CM,Baseline no CC,2035,Uranium,42763,42763,0,0
CMCC-CM,Baseline no CC,2035,Waste Heat,362.3603,373.5922,-11.2319,-0.03
CMCC-CM,Baseline no CC,2035,Water,245594.6722,240572.7791,5021.8931,0.021
CMCC-CM,Baseline no CC,2035,Wind,213449.7954,183113.07,30336.72541,0.166
CMCC-CM,Baseline no CC,2040,Battery Storage,75835.59845,60300.34808,15535.25037,0.258
CMCC-CM,Baseline no CC,2040,Biomass,16704.14897,16557.7686,146.38037,0.009
CMCC-CM,Baseline no CC,2040,Gas,213752.722,217326.721,-3573.99899,-0.016
CMCC-CM,Baseline no CC,2040,Solar,445055.928,444994.35,61.57799579,0
CMCC-CM,Baseline no CC,2040,Uranium,42880,42880,0,0
CMCC-CM,Baseline no CC,2040,Waste Heat,131.8696,147.3505,-15.4809,-0.105
CMCC-CM,Baseline no CC,2040,Water,249991.4779,241236.2242,8755.2537,0.036
CMCC-CM,Baseline no CC,2040,Wind,338675.1775,323499.462,15175.71551,0.047
CMCC-CM,Baseline no CC,2045,Battery Storage,227556.4575,174976.884,52579.57355,0.3
CMCC-CM,Baseline no CC,2045,Biomass,16448.85009,16448.4871,0.36299,0
CMCC-CM,Baseline no CC,2045,Gas,93545.70434,93571.69649,-25.99215263,0
CMCC-CM,Baseline no CC,2045,Solar,725796.666,617190.51,108606.156,0.176
CMCC-CM,Baseline no CC,2045,Uranium,42763,42763,0,0
CMCC-CM,Baseline no CC,2045,Waste Heat,125.5561,110.882,14.6741,0.132
CMCC-CM,Baseline no CC,2045,Water,255604.4417,240572.7791,15031.6626,0.062
CMCC-CM,Baseline no CC,2045,Wind,336310.7143,427622.521,-91311.80669,-0.214
CMCC-CM,Baseline no CC,2050,Battery Storage,368377.8039,327780.741,40597.06294,0.124
